"";"Ref ID";"Outcome Data?";"First Author";"Year";"Country";"Journal Name";"Title";"Number of Studies";"Number of Treatments";"Number of Nodes";"Control intervention";"Intervention comparison type";"Includes Complex Interventions";"Includes different treatment doses";"Did the model account for different treatment doses?";"Primary Outcome(s)";"Description of the outcome(s)";"Safety/
Effectiveness";"Harmful/
Beneficial Outcome";"Type of outcome";"Objective outcome?";"Effect measure";"Outcome measured as";"Indirect Method";"level
";"Number of 2-arm trials";"Number of 3-arm trials";"Number of 4-arm trials";"Number of 5-arm trials";"Number of 6+ -arm trials";"Shape of network";"Total loops";"Assessment of consistency assumption";"NMA includes both direct and indirect evidence";"Models used to adjust for inconsistency";"Assessment of Transitivity";"Fixed effect or Random effects model";"Rationale for FE or RE provided";"Assumption for heterogeneity in Random Effects model";"Heterogeneity estimator/prior";"Mantel Haenszel / Peto / Inverse Variance Method";"Analysis for heterogeneity
";"Was publication bias assessed?";"Method used to assess publication bias";"Ranking";"Reporting of effect sizes";"Use of individual patient data?";"Was missing participant data reported?";"How was missing data handled?";"Funding Source";"Funding Type";"I squared of heterogeneity";"I squared of inconsistency";"I  squared both";"Bayesian / Frequentist Approach";"format";"verified";"checked";"error";"label";"X__1";"X__2";"X__3";"X__4";"X__5";"X__6";"X__7";"X__8";"X__9";"X__10";"X__11";"X__12";"X__13"
"141";"481412";"YES";"Kew";2014;"UK";"Cochrane Database of Systematic Reviews";"Long-acting inhaled therapy (beta-agonists, anticholinergics
and steroids) for COPD: a network meta-analysis (Review)";25;"20";5;"placebo";"2 (pharmacological vs placebo)";"Yes";"Yes";"No - lump doses";"quality of life";"Efficacy of treatment options for patients whose chronic obstructive pulmonary disease cannot be controlled by shortacting
therapies alone";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"St George’s Respiratory Questionnaire (SGRQ) total score at 6 months";"Bayesian Hierarchical Model";"Arm";"14";"4";"4";"3";"0";"Full Network";"Unclear";"Inconsistency model; Node-splitting";"Yes";"Yes";"trials were similar with
regards to methodology, inclusion and exclusion criteria and key baseline characteristics";"Both FE and RE";"based on model fit statistics and deviance information criteria";"Unclear";"Uniform (0,5) prior for between heterogeneity";"NA";"Yes";"No";"NA";"Probability of being the best";"Subset";"No";"Yes";"When data or study characteristics were not reported in the primary
publication, we searched clinical trial reports, trial registries
and drug company websites to look for additional data. When
possible, we used data fromintention-to-treat (ITT) analyses from
all randomly assigned participants";"The National Institute for
Health Research (NIHR)";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"142";"481418";"YES";"Chen";2014;"China";"Current Medical Research & Opinion";"Long-term clinical efficacy and safety of adding cilostazol to dual antiplatelet therapy for patients undergoing PCI: a meta-analysis of randomized trials with adjusted indirect comparisons";12;"4";4;"dual antiplatelet therapy (DAL)";"1 (pharmacological vs pharmacological)";"Yes";"No";"NA";"composite incidence of major adverse cardiovascular events (MACE)";"clinical efficacy of adding cilostazol to aspirin plus clopidogrel (triple antiplatelet therapy, TAT) in patients undergoing percutaneous coronary intervention (PCI)";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"events of cardiovascular death";"Adjusted indirect comparison (Bucher)";"Arm";"10";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"variations of clinical factors may do harm to the similarity assumption";"Both FE and RE";"according to the value of heterogeneity";"Unclear";"NR";"Mantel Haenszel for fixed effect model, Inverse Variance Method for random effects model";"Yes";"Yes";"Funnel plot; Egger's test; Fail-safe number (Nfs)";"ΝΑ";"Subset";"No";"No";"ΝΑ";"National Natural Science
Foundation of China, the Science
and Technology Commission of Shanghai Municipality and the Doctor Innovation
Fund of Shanghai Jiaotong University School of Medicine";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"145";"481470";"YES";"Carter";2014;"UK";"Journal of Human Nutrition and Dietetics";"A Mediterranean diet improves HbA1c but not fasting blood glucose compared to alternative dietary strategies: a network meta-analysis";6;"5";5;"Mediterranean diet + education";"3 (non-pharmacological vs any)";"Yes";"No";"NA";"fasting blood glucose";"the effects of a Mediterranean diet compared to other dietary interventions on glycaemic control irrespective of weight loss";"Effectiveness";"Beneficial";"Continuous";"Objective";"weighted mean difference";"prespecified follow-up point";"Bayesian Hierarchical Model";"Arm";"6";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"As a result of difficulty in conducting random effects analysis with a small number of studies, an arbitrary cut-off was used to fit a fixed effect model when there were less than five studies and a random effects model if there were five or more studies in the analysis.";"common within-network";"NR";"NA";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"Cardiovascular Research Department";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"146";"481511";"YES";"Piccolo";2014;"Italy";"American Journal of Cardiology";"Meta-Analysis of Randomized Trials Comparing the Effectiveness of Different Strategies for the Treatment of Drug-Eluting Stent Restenosis";8;"5";5;"balloon angioplasty (BA)";"3 (non-pharmacological vs any)";"No";"No";"NA";"diameter stenosis at follow-up angiography";"effectiveness of currently available strategies for the treatment of drug-eluting stent (DES) restenosis";"Effectiveness";"Beneficial";"Continuous";"Objective";"mean difference";"Angiographic follow-up  after 6 to 12 months";"Bayesian Hierarchical Model";"Arm";"7";"0";"0";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NA";"Unclear";"No";"NA";"SUCRA";"All";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";0;1;"Non-numeric value for argument 'n'.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"149";"481551";"YES";"Gurusamy";2011;"UK";"Cochrane Database of Systematic Reviews";"Methods to decrease blood loss and transfusion requirements
for liver transplantation (Review)";14;"7";7;"Control intervention";"1 (pharmacological vs pharmacological)";"No";"Yes";"No - split and lump doses in ranges";"mortality at 60 days";"To compare the benefits and harms of different interventionmethods
aimed at decreasing blood loss and/or allogeneic blood transfusion
requirements during liver transplantation";"Effectiveness";"Harmful";"Binary";"Objective";"risk ratio";"number of deaths";"Meta regression";"Arm";"13";"1";"0";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NR";"Yes";"Yes";"Egger's test";"NA";"Subset";"No";"Yes";"best-case, worst-case, best-worst and worse-best
scenarios";"National Insititute of Health Research or NIHR";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"150";"481571";"YES";"Dakin";2010;"UK";"Value in Health";"Mixed Treatment Comparison Meta-Analysis Evaluating the
Relative Efficacy of Nucleos(t)ides for Treatment of
Nucleos(t)ide-Naive Patients with Chronic Hepatitis B";10;"8";8;"placebo";"2 (pharmacological vs placebo)";"Yes";"No";"NA";"HBeAg-Positive Treatment-Naive Patients";"Efficacy of adefovir, entecavir, lamivudine, telbivudine, tenofovir
disoproxil fumarate, and nucleos(t)ide combinations in the treatment
of chronic hepatitis B";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"proportion of patients achieving HBV DNA < 300 copies/ml at 1 year";"Bayesian Hierarchical Model";"Arm";"9";"1";"0";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Both FE and RE";"We used random-effects models when there was evidence of heterogeneity or when fixed-effects models fitted the data poorly. Model fit was assessed based on residual deviance and deviance information criteria (DIC)";"Unclear";"Informative half-normal priors";"NA";"Unclear";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"Gilead Sciences Ltd";"Industry-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"151";"481583";"YES";"Sun";2014;"Belgium";"Current Medical Research & Opinion";"A mixed treatment comparison of gabapentin enacarbil, pramipexole, ropinirole and rotigotine in moderate-to-severe restless legs syndrome";14;"22";5;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"Change in IRLS score at the end of maintenance";"Efficacy of licensed pharmaceuticals for moderate-to-severe restless legs syndrome";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"change in International RLS Study Group Rating
Scale (IRLS) at week 12";"Bayesian Hierarchical Model";"Arm";"12";"0";"2";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"set of trials in which effect modifiers were  balanced
across treatment comparisons";"Both FE and RE";"model fit";"Unclear";"NR";"ΝΑ";"Unclear";"No";"ΝΑ";"Probability of being the best";"Subset";"Yes";"No";"ΝΑ";"UCB Pharma";"Industry-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"152";"481588";"YES";"Turkstra";2011;"Australia";"Current Medical Research & Opinion";"A mixed treatment comparison of the
short-term efficacy of biologic disease
modifying anti-rheumatic drugs in established
rheumatoid arthritis";27;"20";10;"placebo";"2 (pharmacological vs placebo)";"Yes";"No";"NA";"ACR20";"Εfficacy of biological disease modifying anti-rheumatic drugs for the treatment of
established moderate to severe rheumatoid arthritis (RA)";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"number of patients achieving a response ACR20 at
approximately six months";"Bayesian Hierarchical Model";"Arm";"22";"5";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"no important differences in baseline characteristics
were reported in the trials";"Random effects";"As these trials may have been performed amongst different patient groups and with different methodologies, heterogeneity between trials is anticipated where the true effects in each trial are not identical. With mixed treatment analysis, a randomeffects normal distribution is placed on these effect sizes, and the mean used as the estimate of the overall mean.";"Unclear";"NR";"NA";"Yes";"No";"NA";"NA";"All";"No";"No";"NA";"The Pharmaceutical Benefits Advisory Committee";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"153";"481589";"YES";"Desai";2012;"USA";"The Annals of Pharmacotherapy";"Mixed Treatment Comparison of the Treatment Discontinuations
of Biologic Disease-Modifying Antirheumatic Drugs in Adults with
Rheumatoid Arthritis";41;"22";10;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"overall withdrawal";"Efficacy of treatment discontinuations of 9 biologics
with placebo in patients with rheumatoid arthritis";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"overall withdrawals, withdrawals resulting from lack of efficacy, and withdrawals
resulting from adverse events";"Bayesian Hierarchical Model";"Arm";"41";"0";"0";"1";"0";"Tree Network";"NA";"NA";"NA";"NA";"trials were of similar design and
believed to be reflective of similar settings with comparable
patient populations";"Random effects";"No";"NR";"heterogeneity prior: uniform distribution centered at zero with
sufficiently large variance";"NA";"Yes";"Yes";"Funnel plot";"NA";"All";"No";"No";"NA";"Agency for Healthcare Research and Quality";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"156";"481659";"YES";"Biondi-Zoccai";2014;"Italy";"International Journal of Cardiology";"Nephropathy after administration of iso-osmolar and low-osmolar contrast media: Evidence from a network meta-analysis";33;"NR";7;"iodixanol";"1 (pharmacological vs pharmacological)";"No";"Unclear";"Unclear";"short-term (≤30 days) rate of contrast-induced nephropathy";"NR";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"proportion of patients with absolute increase ≥0.5 mg/dL in serum creatinine";"Bayesian Hierarchical Model";"Arm";"42";"0";"0";"0";"0";"Full Network";"1";"I2 statistic";"Yes";"Yes";"NR";"Both FE and RE";"model fit (DIC)";"Unclear";"non-informative priors";"NA";"Unclear";"Yes";"Funnel plot";"Probability of being the best";"All";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"157";"481695";"YES";"Liang";2014;"China";"PLoS One";"Network Meta-Analysis of Erlotinib, Gefitinib, Afatinib and Icotinib in Patients with Advanced Non-Small-Cell Lung Cancer Harboring EGFR Mutations";12;"NR";6;"control intervention";"1 (pharmacological vs pharmacological)";"No";"Unclear";"Unclear";"objective response rate";"Efficacy of EGFR-tyrosine kinase inhibitors (EGFR-TKIs)for patients with advanced non-small-cell lung cancer (NSCLC)";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"number of events with response";"Bayesian Hierarchical Model";"Arm";"12";"0";"0";"0";"0";"Full Network";"1";"Node-splitting";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NA";"Unclear";"No";"NA";"SUCRA; Probability of being the best";"All";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"163";"481731";"YES";"Peruzzi";2014;"Italy";"BioMed Research International";"A Network Meta-Analysis on Randomized Trials Focusing on the
Preventive Effect of Statins on Contrast-Induced Nephropathy";14;"6";6;"placebo or no statin";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"occurrence of odinated contrast-induced nephropathy";"Effectiveness of treatments based on statins for the prevention of
contrast-induced nephropathy";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"relative increase in serum creatinine ≥25% or an absolute increase in serum creatinine ≥0.5 mg/dL (44 𝜇mol/L), typically 48–72 hours after the index procedure.";"Bayesian Hierarchical Model";"Arm";"14";"0";"0";"0";"0";"Full Network";"1";"Inconsistency model";"Yes";"Yes";"NR";"Both FE and RE";"model fit - DIC";"Unclear";"NR";"NA";"Unclear";"Yes";"Funnel plot";"Probability of being the best";"All";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"164";"481733";"YES";"Yang";2014;"China";"International Journal of Surgery";"A network meta-analysis on the efficacy of 5-aminosalicylates,immunomodulators and biologics for the prevention of postoperative recurrence in Crohn’s disease";15;"12";4;"placebo";"2 (pharmacological vs placebo)";"No";"No";"No - lump doses";"endoscopic recurrence";"Efficacy of 5-aminosalicylates, immunomodulators and biologics for postoperative prophylaxis of Crohn’s disease recurrence";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"proportion of patients with recurrence epithelial lesions at short term followup
after surgery";"Bayesian Hierarchical Model";"Arm";"13";"2";"0";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"NR";"Unclear";"No";"Unclear";"NR";"NA";"Unclear";"Yes";"Egger's test";"Probability of being the best";"All";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"165";"481734";"YES";"Zhang";2013;"China";"Chinese Pharmaceutical Journal";"A Network Meta-Analysis on the Influence of Antihypertensive Agents on New-onset Diabetes";28;"6";6;"placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"new-onset diabetes";"development of diabetes in patients treated with antihypertensive drugs";"Safety";"Harmful";"Binary";"Semi-objective";"odds ratio";"# pts developed diabetes during treatment";"Bayesian Hierarchical Model";"Arm";"25";"3";"0";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"NR";"Both FE and RE";"The models in WinBUGS were similarly divided into the fixed effects model and the random effects model. The variance of the random effects model included the intra-study variance and inter-study variance. Therefore, when there was heterogeneity, the random effects model was more robust than the fixed effects model; thus the authors adopted the random effects model";"Unclear";"NR";"NA";"Unclear";"No";"NA";"NA";"All";"No";"No";"NR";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"166";"481736";"YES";"Nelson";2014;"UK";"The Journal of Allergy and Clinical Immunology: In Practice";"Network Meta-analysis Shows Commercialized
Subcutaneous and Sublingual Grass Products Have
Comparable Efficacy";37;"4";4;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"allergic rhinoconjunctivitis symptom score";"Efficacy of subcutaneous immunotherapy (SCIT) and
sublingual immunotherapy (SLIT) for pollen allergies";"Safety";"Beneficial";"Continuous";"Semi-objective";"standardized mean difference";"mean symptom scores";"Bayesian Hierarchical Model";"Arm";"37";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"Similarity of trial populations was  assessed only qualitatively through the comparison of reported trial characteristics";"Both FE and RE";"model fit - DIC";"Unclear";"the sources of heterogeneity were explored by removing
possible study outliers, conducting subgroup and sensitivity
analysis.";"NA";"Yes";"Yes";"Egger's test";"NA";"All";"No";"Yes";"Data were requested from authors and study sponsors";"Merck & Co, Inc.";"Industry-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"167";"481766";"YES";"Zaccara";2013;"Italy";"Seizure";"Neurological adverse events of new generation sodium blocker
antiepileptic drugs. Meta-analysis of randomized, double-blinded
studies with eslicarbazepine acetate, lacosamide and oxcarbazepine";8;"10";4;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"overall neurological adverse effects (dizziness)";"Neurological adverse events of new generation sodium blocker antiepileptic drugs";"Safety";"Harmful";"Binary";"Semi-objective";"risk difference";"proportion of patients experiencing neurological adverse effects";"Adjusted indirect comparison (Bucher)";"Arm";"8";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"Heterogeneity (I2 > 70%) was found with ESL at all doses and with LCM at 200 mg/d dose and in these cases a random model was adopted. In all other cases a fixed-effect model was used.";"Unclear";"NR";"NR";"Unclear";"No";"NA";"NA";"All";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"168";"481781";"YES";"Chatterjee";2013;"USA";"American Medical Association";"New Oral Anticoagulants and the Risk
of Intracranial Hemorrhage
Traditional and Bayesian Meta-analysis
and Mixed Treatment Comparison of Randomized Trials
of New Oral Anticoagulants in Atrial Fibrillation";6;"9";5;"warfarin
or aspirin";"1 (pharmacological vs pharmacological)";"No";"Yes";"No - lump doses";"Intracranial Hemorrhage";"Assess the rates of intracranial hemorrhage
(ICH) with use of novel oral anticoagulants";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"intracranial hemorrhage events";"Bayesian Hierarchical Model";"Arm";"6";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"Bayesian random-effects models (as appropriate for conservative assessment of varied clinical moieties using data from published sources) using vague priors (to account for a wide variation among the baseline variables in the study subjects)";"Unclear";"vague or noninformative
priors";"NA";"Yes";"Yes";"Funnel plot";"NA";"Subset";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
